index,Viscosity,T,3d,4d,5d,Optical alkalinity,CaO,Al2O3,SiO2,CaF2,MgO
150,3.21,1773,0,1,0,0.66,0.431,0.087,0.336,0,0.147
151,3.54,1773,0,1,0,0.653,0.419,0.106,0.326,0,0.149
152,4.61,1773,0,1,0,0.647,0.441,0.115,0.343,0,0.102
153,5.15,1773,0,1,0,0.637,0.385,0.106,0.36,0,0.149
154,3.92,1773,0,1,0,0.647,0.405,0.087,0.361,0,0.147
155,3.12,1773,0,1,0,0.655,0.408,0.068,0.364,0,0.16
156,3.42,1773,0,1,0,0.656,0.423,0.087,0.343,0,0.147
157,3.48,1773,0,1,0,0.643,0.351,0.104,0.327,0,0.219
158,3.66,1773,0,1,0,0.652,0.414,0.087,0.352,0,0.147
159,3.81,1773,0,1,0,0.653,0.421,0.083,0.357,0,0.139
160,4.22,1773,0,1,0,0.65,0.432,0.098,0.349,0,0.121
161,5.12,1773,0,1,0,0.648,0.459,0.108,0.357,0,0.076
162,2.6,1773,0,1,0,0.649,0.362,0.085,0.338,0,0.216
163,4.1,1773,0,1,0,0.633,0.378,0.119,0.353,0,0.15
164,6.5,1773,0,1,0,0.616,0.396,0.156,0.37,0,0.079
165,5.6,1773,0,1,0,0.61,0.332,0.152,0.362,0,0.154
166,2.84,1773,0,1,0,0.646,0.348,0.027,0.417,0,0.207
167,4.79,1773,0,1,0,0.636,0.423,0.058,0.445,0,0.074
168,4.58,1773,0,1,0,0.63,0.363,0.057,0.436,0,0.144
169,4.07,1773,0,1,0,0.624,0.305,0.056,0.427,0,0.212
171,7.6,1773,0,1,0,0.614,0.38,0.089,0.455,0,0.075
172,6.76,1773,0,1,0,0.609,0.319,0.088,0.446,0,0.148
173,6.68,1773,0,1,0,0.603,0.26,0.086,0.437,0,0.217
174,13.3,1773,0,1,0,0.588,0.272,0.12,0.457,0,0.151
175,9.71,1773,0,1,0,0.583,0.213,0.117,0.447,0,0.222
176,8.41,1773,0,1,0,0.578,0.157,0.115,0.438,0,0.29
177,4.4,1773,0,1,0,0.629,0.356,0.028,0.475,0,0.141
178,4.15,1773,0,1,0,0.623,0.299,0.027,0.465,0,0.208
179,3.93,1773,0,1,0,0.618,0.245,0.027,0.456,0,0.272
180,7.53,1773,0,1,0,0.613,0.372,0.058,0.496,0,0.074
181,7.09,1773,0,1,0,0.608,0.312,0.057,0.486,0,0.145
182,6.71,1773,0,1,0,0.603,0.255,0.056,0.476,0,0.213
183,5.88,1773,0,1,0,0.598,0.2,0.055,0.467,0,0.278
184,10.9,1773,0,1,0,0.583,0.209,0.086,0.487,0,0.218
185,9.51,1773,0,1,0,0.578,0.153,0.084,0.477,0,0.285
187,3.29,1773,0,1,0,0.659,0.475,0.058,0.394,0,0.073
188,2.98,1773,0,1,0,0.653,0.413,0.057,0.386,0,0.144
189,2.62,1773,0,1,0,0.647,0.355,0.056,0.378,0,0.211
190,2.81,1773,0,1,0,0.641,0.298,0.055,0.371,0,0.276
192,5.02,1773,0,1,0,0.637,0.432,0.089,0.403,0,0.075
193,4.28,1773,0,1,0,0.631,0.37,0.087,0.395,0,0.147
194,3.72,1773,0,1,0,0.625,0.311,0.086,0.387,0,0.216
195,3.84,1773,0,1,0,0.62,0.254,0.084,0.379,0,0.283
197,7.69,1773,0,1,0,0.615,0.388,0.122,0.413,0,0.077
198,6.94,1773,0,1,0,0.609,0.325,0.119,0.405,0,0.151
199,5.61,1773,0,1,0,0.604,0.265,0.117,0.396,0,0.222
200,3.0,1773,0,1,0,0.662,0.485,0.089,0.352,0,0.075
201,2.7,1773,0,1,0,0.655,0.422,0.087,0.344,0,0.147
202,3.9,1773,0,1,0,0.627,0.317,0.116,0.346,0,0.221
203,4.8,1773,0,1,0,0.639,0.441,0.121,0.36,0,0.077
204,3.99,1733,0,1,0,0.66,0.431,0.087,0.336,0,0.147
205,4.39,1733,0,1,0,0.653,0.419,0.106,0.326,0,0.149
206,5.8,1733,0,1,0,0.647,0.441,0.115,0.343,0,0.102
207,6.51,1733,0,1,0,0.637,0.385,0.106,0.36,0,0.149
208,4.92,1733,0,1,0,0.647,0.405,0.087,0.361,0,0.147
209,3.82,1733,0,1,0,0.655,0.408,0.068,0.364,0,0.16
210,4.14,1733,0,1,0,0.656,0.423,0.087,0.343,0,0.147
211,4.75,1733,0,1,0,0.643,0.351,0.104,0.327,0,0.219
212,4.6,1733,0,1,0,0.652,0.414,0.087,0.352,0,0.147
213,4.75,1733,0,1,0,0.653,0.421,0.083,0.357,0,0.139
214,5.3,1733,0,1,0,0.65,0.432,0.098,0.349,0,0.121
215,7.0,1733,0,1,0,0.648,0.459,0.108,0.357,0,0.076
216,2.44,1823,0,1,0,0.66,0.431,0.087,0.336,0,0.147
217,2.86,1823,0,1,0,0.653,0.419,0.106,0.326,0,0.149
218,3.51,1823,0,1,0,0.647,0.441,0.115,0.343,0,0.102
219,3.72,1823,0,1,0,0.637,0.385,0.106,0.36,0,0.149
220,3.01,1823,0,1,0,0.647,0.405,0.087,0.361,0,0.147
221,2.39,1823,0,1,0,0.655,0.408,0.068,0.364,0,0.16
222,2.61,1823,0,1,0,0.656,0.423,0.087,0.343,0,0.147
223,2.68,1823,0,1,0,0.643,0.351,0.104,0.327,0,0.219
224,2.88,1823,0,1,0,0.652,0.414,0.087,0.352,0,0.147
225,2.91,1823,0,1,0,0.653,0.421,0.083,0.357,0,0.139
226,3.25,1823,0,1,0,0.65,0.432,0.098,0.349,0,0.121
227,4.0,1823,0,1,0,0.648,0.459,0.108,0.357,0,0.076
228,3.6,1723,0,1,0,0.649,0.362,0.085,0.338,0,0.216
229,5.4,1723,0,1,0,0.633,0.378,0.119,0.353,0,0.15
230,9.4,1723,0,1,0,0.616,0.396,0.156,0.37,0,0.079
231,8.1,1723,0,1,0,0.61,0.332,0.152,0.362,0,0.154
232,3.98,1723,0,1,0,0.646,0.348,0.027,0.417,0,0.207
233,6.97,1723,0,1,0,0.636,0.423,0.058,0.445,0,0.074
234,6.9,1723,0,1,0,0.63,0.363,0.057,0.436,0,0.144
235,5.92,1723,0,1,0,0.624,0.305,0.056,0.427,0,0.212
237,11.1,1723,0,1,0,0.614,0.38,0.089,0.455,0,0.075
238,9.8,1723,0,1,0,0.609,0.319,0.088,0.446,0,0.148
239,9.45,1723,0,1,0,0.603,0.26,0.086,0.437,0,0.217
240,17.2,1723,0,1,0,0.588,0.272,0.12,0.457,0,0.151
241,14.2,1723,0,1,0,0.583,0.213,0.117,0.447,0,0.222
242,12.5,1723,0,1,0,0.578,0.157,0.115,0.438,0,0.29
243,6.08,1723,0,1,0,0.629,0.356,0.028,0.475,0,0.141
244,5.6,1723,0,1,0,0.623,0.299,0.027,0.465,0,0.208
245,5.53,1723,0,1,0,0.618,0.245,0.027,0.456,0,0.272
246,10.9,1723,0,1,0,0.613,0.372,0.058,0.496,0,0.074
247,9.92,1723,0,1,0,0.608,0.312,0.057,0.486,0,0.145
248,8.9,1723,0,1,0,0.603,0.255,0.056,0.476,0,0.213
249,8.12,1723,0,1,0,0.598,0.2,0.055,0.467,0,0.278
250,16.2,1723,0,1,0,0.583,0.209,0.086,0.487,0,0.218
251,13.7,1723,0,1,0,0.578,0.153,0.084,0.477,0,0.285
253,4.6,1723,0,1,0,0.659,0.475,0.058,0.394,0,0.073
254,4.27,1723,0,1,0,0.653,0.413,0.057,0.386,0,0.144
255,3.64,1723,0,1,0,0.647,0.355,0.056,0.378,0,0.211
256,3.78,1723,0,1,0,0.641,0.298,0.055,0.371,0,0.276
258,8.09,1723,0,1,0,0.637,0.432,0.089,0.403,0,0.075
259,6.5,1723,0,1,0,0.631,0.37,0.087,0.395,0,0.147
260,5.33,1723,0,1,0,0.625,0.311,0.086,0.387,0,0.216
261,5.55,1723,0,1,0,0.62,0.254,0.084,0.379,0,0.283
263,11.26,1723,0,1,0,0.615,0.388,0.122,0.413,0,0.077
264,10.04,1723,0,1,0,0.609,0.325,0.119,0.405,0,0.151
265,8.37,1723,0,1,0,0.604,0.265,0.117,0.396,0,0.222
266,4.6,1723,0,1,0,0.662,0.485,0.089,0.352,0,0.075
267,3.9,1723,0,1,0,0.655,0.422,0.087,0.344,0,0.147
268,5.7,1723,0,1,0,0.627,0.317,0.116,0.346,0,0.221
269,7.2,1723,0,1,0,0.639,0.441,0.121,0.36,0,0.077
270,5.3,1673,0,1,0,0.649,0.362,0.085,0.338,0,0.216
271,8.2,1673,0,1,0,0.633,0.378,0.119,0.353,0,0.15
272,15.3,1673,0,1,0,0.616,0.396,0.156,0.37,0,0.079
273,13.0,1673,0,1,0,0.61,0.332,0.152,0.362,0,0.154
274,5.68,1673,0,1,0,0.646,0.348,0.027,0.417,0,0.207
275,10.6,1673,0,1,0,0.636,0.423,0.058,0.445,0,0.074
276,10.2,1673,0,1,0,0.63,0.363,0.057,0.436,0,0.144
277,8.79,1673,0,1,0,0.624,0.305,0.056,0.427,0,0.212
279,17.3,1673,0,1,0,0.614,0.38,0.089,0.455,0,0.075
280,15.1,1673,0,1,0,0.609,0.319,0.088,0.446,0,0.148
281,14.4,1673,0,1,0,0.603,0.26,0.086,0.437,0,0.217
282,26.3,1673,0,1,0,0.588,0.272,0.12,0.457,0,0.151
283,21.85,1673,0,1,0,0.583,0.213,0.117,0.447,0,0.222
284,19.1,1673,0,1,0,0.578,0.157,0.115,0.438,0,0.29
285,9.07,1673,0,1,0,0.629,0.356,0.028,0.475,0,0.141
286,8.19,1673,0,1,0,0.623,0.299,0.027,0.465,0,0.208
287,8.08,1673,0,1,0,0.618,0.245,0.027,0.456,0,0.272
288,16.9,1673,0,1,0,0.613,0.372,0.058,0.496,0,0.074
289,15.0,1673,0,1,0,0.608,0.312,0.057,0.486,0,0.145
290,13.1,1673,0,1,0,0.603,0.255,0.056,0.476,0,0.213
291,12.2,1673,0,1,0,0.598,0.2,0.055,0.467,0,0.278
292,24.3,1673,0,1,0,0.583,0.209,0.086,0.487,0,0.218
293,21.4,1673,0,1,0,0.578,0.153,0.084,0.477,0,0.285
295,6.77,1673,0,1,0,0.659,0.475,0.058,0.394,0,0.073
296,6.4,1673,0,1,0,0.653,0.413,0.057,0.386,0,0.144
297,5.26,1673,0,1,0,0.647,0.355,0.056,0.378,0,0.211
298,5.5,1673,0,1,0,0.641,0.298,0.055,0.371,0,0.276
300,11.89,1673,0,1,0,0.637,0.432,0.089,0.403,0,0.075
301,9.97,1673,0,1,0,0.631,0.37,0.087,0.395,0,0.147
302,8.02,1673,0,1,0,0.625,0.311,0.086,0.387,0,0.216
303,8.34,1673,0,1,0,0.62,0.254,0.084,0.379,0,0.283
305,17.92,1673,0,1,0,0.615,0.388,0.122,0.413,0,0.077
306,15.15,1673,0,1,0,0.609,0.325,0.119,0.405,0,0.151
307,12.83,1673,0,1,0,0.604,0.265,0.117,0.396,0,0.222
308,7.0,1673,0,1,0,0.662,0.485,0.089,0.352,0,0.075
309,6.0,1673,0,1,0,0.655,0.422,0.087,0.344,0,0.147
310,8.9,1673,0,1,0,0.627,0.317,0.116,0.346,0,0.221
311,11.4,1673,0,1,0,0.639,0.441,0.121,0.36,0,0.077
312,8.3,1623,0,1,0,0.649,0.362,0.085,0.338,0,0.216
313,13.7,1623,0,1,0,0.633,0.378,0.119,0.353,0,0.15
314,25.5,1623,0,1,0,0.616,0.396,0.156,0.37,0,0.079
315,21.5,1623,0,1,0,0.61,0.332,0.152,0.362,0,0.154
316,9.03,1623,0,1,0,0.646,0.348,0.027,0.417,0,0.207
317,16.9,1623,0,1,0,0.636,0.423,0.058,0.445,0,0.074
318,16.0,1623,0,1,0,0.63,0.363,0.057,0.436,0,0.144
319,13.4,1623,0,1,0,0.624,0.305,0.056,0.427,0,0.212
321,28.8,1623,0,1,0,0.614,0.38,0.089,0.455,0,0.075
322,24.3,1623,0,1,0,0.609,0.319,0.088,0.446,0,0.148
323,23.3,1623,0,1,0,0.603,0.26,0.086,0.437,0,0.217
324,43.1,1623,0,1,0,0.588,0.272,0.12,0.457,0,0.151
325,36.0,1623,0,1,0,0.583,0.213,0.117,0.447,0,0.222
326,32.2,1623,0,1,0,0.578,0.157,0.115,0.438,0,0.29
327,14.2,1623,0,1,0,0.629,0.356,0.028,0.475,0,0.141
328,12.6,1623,0,1,0,0.623,0.299,0.027,0.465,0,0.208
329,12.1,1623,0,1,0,0.618,0.245,0.027,0.456,0,0.272
330,27.1,1623,0,1,0,0.613,0.372,0.058,0.496,0,0.074
331,23.8,1623,0,1,0,0.608,0.312,0.057,0.486,0,0.145
332,20.9,1623,0,1,0,0.603,0.255,0.056,0.476,0,0.213
333,19.5,1623,0,1,0,0.598,0.2,0.055,0.467,0,0.278
334,37.8,1623,0,1,0,0.583,0.209,0.086,0.487,0,0.218
335,35.0,1623,0,1,0,0.578,0.153,0.084,0.477,0,0.285
