index,Viscosity,T,CaO,Al2O3,SiO2
0,7.6,1816,0.45,0.15,0.4
1,7,1816,0.45,0.1,0.45
2,24.5,1816,0.35,0.1,0.55
3,23.8,1816,0.35,0.15,0.5
4,12.7,1816,0.4,0.2,0.4
5,13,1816,0.4,0.15,0.45
6,11.8,1816,0.4,0.1,0.5
7,9.5,1791,0.45,0.15,0.4
8,8.5,1791,0.45,0.1,0.45
9,30.5,1791,0.35,0.1,0.55
10,30,1791,0.35,0.15,0.5
11,16,1791,0.4,0.2,0.4
12,16.2,1791,0.4,0.15,0.45
13,14.9,1791,0.4,0.1,0.5
14,11.9,1765,0.45,0.15,0.4
15,10.5,1765,0.45,0.1,0.45
16,38.7,1765,0.35,0.1,0.55
17,38.4,1765,0.35,0.15,0.5
18,20.6,1765,0.4,0.2,0.4
19,20.9,1765,0.4,0.15,0.45
20,18.9,1765,0.4,0.1,0.5
21,15.1,1740,0.45,0.15,0.4
22,13.1,1740,0.45,0.1,0.45
23,50.3,1740,0.35,0.1,0.55
24,49.5,1740,0.35,0.15,0.5
25,26.7,1740,0.4,0.2,0.4
26,27.4,1740,0.4,0.15,0.45
27,24,1740,0.4,0.1,0.5
28,19.5,1714,0.45,0.15,0.4
29,16.6,1714,0.45,0.1,0.45
30,66.6,1714,0.35,0.1,0.55
31,64.9,1714,0.35,0.15,0.5
32,34.8,1714,0.4,0.2,0.4
33,36.4,1714,0.4,0.15,0.45
34,30.8,1714,0.4,0.1,0.5
37,3.3,1923,0.394,0.361,0.245
39,1.6,1923,0.539,0.059,0.402
40,1.7,1923,0.615,0.27,0.115
41,3.3,1923,0.474,0.195,0.332
42,3,1923,0.453,0.124,0.423
43,3.4,1923,0.434,0.06,0.506
46,4.7,1873,0.394,0.361,0.245
48,2.1,1873,0.539,0.059,0.402
49,2.3,1873,0.615,0.27,0.115
50,4.4,1873,0.474,0.195,0.332
51,4.3,1873,0.453,0.124,0.423
52,4.5,1873,0.434,0.06,0.506
55,7.4,1823,0.394,0.361,0.245
57,2.8,1823,0.539,0.059,0.402
58,3.3,1823,0.615,0.27,0.115
59,6.1,1823,0.474,0.195,0.332
60,6.2,1823,0.453,0.124,0.423
61,6.2,1823,0.434,0.06,0.506
64,11.5,1773,0.394,0.361,0.245
66,3.9,1773,0.539,0.059,0.402
67,5,1773,0.615,0.27,0.115
68,9.2,1773,0.474,0.195,0.332
69,9.2,1773,0.453,0.124,0.423
70,8.6,1773,0.434,0.06,0.506
71,4.96,1773,0.508,0.124,0.368
72,7.53,1773,0.463,0.159,0.378
73,11.6,1773,0.416,0.196,0.388
74,19,1773,0.366,0.235,0.399
75,4.01,1773,0.539,0.059,0.402
76,5.16,1773,0.497,0.091,0.412
77,8.32,1773,0.453,0.125,0.423
78,14.3,1773,0.407,0.16,0.434
79,27.1,1773,0.358,0.197,0.445
80,4.88,1773,0.487,0.059,0.454
81,8.54,1773,0.443,0.091,0.465
82,15,1773,0.398,0.125,0.477
83,26.3,1773,0.35,0.16,0.49
84,8.23,1773,0.434,0.06,0.506
85,14.3,1773,0.389,0.092,0.519
86,30.2,1773,0.342,0.125,0.532
87,15.1,1773,0.381,0.06,0.559
88,28.6,1773,0.335,0.092,0.573
89,17.1,1773,0.373,0.029,0.597
90,32.6,1773,0.328,0.06,0.612
91,7.6,1723,0.508,0.124,0.368
92,11.9,1723,0.463,0.159,0.378
93,18.9,1723,0.416,0.196,0.388
94,31.4,1723,0.366,0.235,0.399
95,5.23,1723,0.539,0.059,0.402
96,8.22,1723,0.497,0.091,0.412
97,13.7,1723,0.453,0.125,0.423
98,21.7,1723,0.407,0.16,0.434
99,39.5,1723,0.358,0.197,0.445
100,7.57,1723,0.487,0.059,0.454
101,12.5,1723,0.443,0.091,0.465
102,22.6,1723,0.398,0.125,0.477
103,41,1723,0.35,0.16,0.49
104,12.1,1723,0.434,0.06,0.506
105,21.9,1723,0.389,0.092,0.519
106,42.3,1723,0.342,0.125,0.532
107,22.3,1723,0.381,0.06,0.559
108,44.8,1723,0.335,0.092,0.573
109,25,1723,0.373,0.029,0.597
110,51.7,1723,0.328,0.06,0.612
111,13.6,1673,0.508,0.124,0.368
112,19.9,1673,0.463,0.159,0.378
113,31.7,1673,0.416,0.196,0.388
114,54.7,1673,0.366,0.235,0.399
115,8.33,1673,0.539,0.059,0.402
116,13.2,1673,0.497,0.091,0.412
117,21.5,1673,0.453,0.125,0.423
118,34.9,1673,0.407,0.16,0.434
119,69.4,1673,0.358,0.197,0.445
120,11.6,1673,0.487,0.059,0.454
121,19.4,1673,0.443,0.091,0.465
122,37.1,1673,0.398,0.125,0.477
123,70.1,1673,0.35,0.16,0.49
124,19.2,1673,0.434,0.06,0.506
125,34.7,1673,0.389,0.092,0.519
126,70.9,1673,0.342,0.125,0.532
127,35.7,1673,0.381,0.06,0.559
128,73.2,1673,0.335,0.092,0.573
129,39.4,1673,0.373,0.029,0.597
130,81.6,1673,0.328,0.06,0.612
170,8.54,1773,0.443,0.091,0.465
186,4.01,1773,0.539,0.059,0.402
191,5.16,1773,0.497,0.091,0.412
196,8.32,1773,0.453,0.125,0.423
236,12.6,1723,0.443,0.091,0.465
252,5.23,1723,0.539,0.059,0.402
257,8.22,1723,0.497,0.091,0.412
262,13.69,1723,0.453,0.125,0.423
278,19.4,1673,0.443,0.091,0.465
294,8.33,1673,0.539,0.059,0.402
299,13.23,1673,0.497,0.091,0.412
304,21.48,1673,0.453,0.125,0.423
320,33.1,1623,0.443,0.091,0.465
